week,type,value
2012 W14,Cleanbot1,16.26
2012 W15,Cleanbot1,15.57
2012 W16,Cleanbot1,15.46
2012 W17,Cleanbot1,12.42
2012 W18,Cleanbot1,13.23
2012 W19,Cleanbot1,12.38
2012 W20,Cleanbot1,11.09
2012 W21,Cleanbot1,12.57
2012 W22,Cleanbot1,13.79
2012 W23,Cleanbot1,14.32
2012 W24,Cleanbot1,15.81
2012 W25,Cleanbot1,14.86
2012 W26,Cleanbot1,12.66
2012 W27,Cleanbot1,14.64
2012 W28,Cleanbot1,11.98
2012 W29,Cleanbot1,18.16
2012 W30,Cleanbot1,14.78
2012 W31,Cleanbot1,15.71
2012 W32,Cleanbot1,16.44
2012 W33,Cleanbot1,14.76
2012 W34,Cleanbot1,18.45
2012 W35,Cleanbot1,16.5
2012 W36,Cleanbot1,17.74
2012 W37,Cleanbot1,14.67
2012 W38,Cleanbot1,13.61
2012 W39,Cleanbot1,15.4
2012 W40,Cleanbot1,16.6
2012 W41,Cleanbot1,15.15
2012 W42,Cleanbot1,18.56
2012 W43,Cleanbot1,18.01
2012 W44,Cleanbot1,17.81
2012 W45,Cleanbot1,12.67
2012 W46,Cleanbot1,11.85
2012 W47,Cleanbot1,14.73
2012 W48,Cleanbot1,11.95
2012 W49,Cleanbot1,12.89
2012 W50,Cleanbot1,11.76
2012 W51,Cleanbot1,13.33
2012 W52,Cleanbot1,15.54
2013 W01,Cleanbot1,17.18
2013 W02,Cleanbot1,14.21
2013 W03,Cleanbot1,14.32
2013 W04,Cleanbot1,15.81
2013 W05,Cleanbot1,17.7
2013 W06,Cleanbot1,14.26
2013 W07,Cleanbot1,15.83
2013 W08,Cleanbot1,13.73
2013 W09,Cleanbot1,17.08
2013 W10,Cleanbot1,16.94
2013 W11,Cleanbot1,13.64
2013 W12,Cleanbot1,14.11
2013 W13,Cleanbot1,11.78
2013 W14,Cleanbot1,14.16
2013 W15,Cleanbot1,17.99
2013 W16,Cleanbot1,15.58
2013 W17,Cleanbot1,15.35
2013 W18,Cleanbot1,15.94
2013 W19,Cleanbot1,16.84
2013 W20,Cleanbot1,18.25
2013 W21,Cleanbot1,17.35
2013 W22,Cleanbot1,18.16
2013 W23,Cleanbot1,13.16
2013 W24,Cleanbot1,17.51
2013 W25,Cleanbot1,18.67
2013 W26,Cleanbot1,14.53
2013 W27,Cleanbot1,15.71
2013 W28,Cleanbot1,14.52
2013 W29,Cleanbot1,13.9
2013 W30,Cleanbot1,17.41
2013 W31,Cleanbot1,15.14
2013 W32,Cleanbot1,12.47
2013 W33,Cleanbot1,15.83
2013 W34,Cleanbot1,15.79
2013 W35,Cleanbot1,15
2013 W36,Cleanbot1,17.5
2013 W37,Cleanbot1,18.31
2013 W38,Cleanbot1,14.52
2013 W39,Cleanbot1,13.78
2013 W40,Cleanbot1,15.33
2013 W41,Cleanbot1,14.64
2013 W42,Cleanbot1,16.77
2013 W43,Cleanbot1,14.82
2013 W44,Cleanbot1,15.16
2013 W45,Cleanbot1,13.01
2013 W46,Cleanbot1,15.88
2013 W47,Cleanbot1,17.74
2013 W48,Cleanbot1,16.37
2013 W49,Cleanbot1,14.34
2013 W50,Cleanbot1,14.29
2013 W51,Cleanbot1,10.8
2013 W52,Cleanbot1,15.71
2014 W01,Cleanbot1,16.03
2014 W02,Cleanbot1,17.03
2014 W03,Cleanbot1,12.91
2014 W04,Cleanbot1,14.31
2014 W05,Cleanbot1,16.12
2014 W06,Cleanbot1,17.13
2014 W07,Cleanbot1,12.56
2014 W08,Cleanbot1,12.43
2014 W09,Cleanbot1,15.02
2014 W10,Cleanbot1,10.97
2014 W11,Cleanbot1,11.22
2014 W12,Cleanbot1,10.84
2014 W13,Cleanbot1,13.86
2014 W14,Cleanbot1,14.02
2014 W15,Cleanbot1,11.24
2014 W16,Cleanbot1,10.75
2014 W17,Cleanbot1,9.35
2014 W18,Cleanbot1,13.64
2014 W19,Cleanbot1,9.86
2014 W20,Cleanbot1,9.72
2014 W21,Cleanbot1,12.38
2014 W22,Cleanbot1,10.54
2014 W23,Cleanbot1,12.29
2014 W24,Cleanbot1,12.67
2014 W25,Cleanbot1,12.03
2014 W26,Cleanbot1,13.84
2014 W27,Cleanbot1,12.06
2014 W28,Cleanbot1,11.64
2014 W29,Cleanbot1,12.89
2014 W30,Cleanbot1,10.78
2014 W31,Cleanbot1,14.2
2014 W32,Cleanbot1,15.33
2014 W33,Cleanbot1,13.8
2014 W34,Cleanbot1,12.65
2014 W35,Cleanbot1,14.12
2014 W36,Cleanbot1,11.83
2014 W37,Cleanbot1,14.71
2014 W38,Cleanbot1,15.6
2014 W39,Cleanbot1,16.33
2014 W40,Cleanbot1,14.5
2014 W41,Cleanbot1,15.46
2014 W42,Cleanbot1,13.6
2014 W43,Cleanbot1,13.56
2014 W44,Cleanbot1,13.43
2014 W45,Cleanbot1,12.78
2014 W46,Cleanbot1,11.48
2014 W47,Cleanbot1,13.43
2014 W48,Cleanbot1,10.51
2014 W49,Cleanbot1,12.02
2014 W50,Cleanbot1,12.24
2014 W51,Cleanbot1,12.99
2014 W52,Cleanbot1,12.01
2015 W01,Cleanbot1,10.48
2015 W02,Cleanbot1,15.46
2015 W03,Cleanbot1,12.65
2015 W04,Cleanbot1,10.33
2015 W05,Cleanbot1,13.68
2015 W06,Cleanbot1,14.31
2015 W07,Cleanbot1,13.69
2015 W08,Cleanbot1,14.34
2015 W09,Cleanbot1,13.56
2015 W10,Cleanbot1,11.11
2015 W11,Cleanbot1,10.79
2015 W12,Cleanbot1,9.29
2015 W13,Cleanbot1,10.5
2015 W14,Cleanbot1,6.23
2015 W15,Cleanbot1,9.39
2015 W16,Cleanbot1,9.11
2015 W17,Cleanbot1,9.41
2015 W18,Cleanbot1,9.02
2015 W19,Cleanbot1,10.25
2015 W20,Cleanbot1,8.81
2015 W21,Cleanbot1,12.03
2015 W22,Cleanbot1,9.07
2015 W23,Cleanbot1,10.48
2015 W24,Cleanbot1,6.38
2015 W25,Cleanbot1,7.82
2015 W26,Cleanbot1,7
2015 W27,Cleanbot1,4.86
2015 W28,Cleanbot1,8.6
2015 W29,Cleanbot1,11.11
2015 W30,Cleanbot1,10.96
2015 W31,Cleanbot1,10.78
2015 W32,Cleanbot1,10.27
2015 W33,Cleanbot1,11.72
2015 W34,Cleanbot1,11.81
2015 W35,Cleanbot1,7.87
2015 W36,Cleanbot1,11.07
2015 W37,Cleanbot1,12.35
2015 W38,Cleanbot1,9.28
2015 W39,Cleanbot1,10.46
2015 W40,Cleanbot1,8.26
2015 W41,Cleanbot1,12.84
2015 W42,Cleanbot1,12.78
2015 W43,Cleanbot1,12.12
2015 W44,Cleanbot1,8.58
2015 W45,Cleanbot1,11.07
2015 W46,Cleanbot1,9.7
2015 W47,Cleanbot1,8.88
2015 W48,Cleanbot1,9.61
2015 W49,Cleanbot1,7.24
2015 W50,Cleanbot1,9.62
2015 W51,Cleanbot1,7.63
2015 W52,Cleanbot1,8.01
2015 W53,Cleanbot1,13.28
2016 W01,Cleanbot1,11.69
2016 W02,Cleanbot1,11.18
2016 W03,Cleanbot1,10.71
2016 W04,Cleanbot1,6.52
2016 W05,Cleanbot1,10.53
2016 W06,Cleanbot1,9.55
2016 W07,Cleanbot1,9.96
2016 W08,Cleanbot1,10.44
2016 W09,Cleanbot1,7.28
2016 W10,Cleanbot1,8.79
2016 W11,Cleanbot1,9.03
2016 W12,Cleanbot1,8.37
2016 W13,Cleanbot1,6.87
2016 W14,Cleanbot1,8.22
2016 W15,Cleanbot1,6.59
2016 W16,Cleanbot1,6.72
2016 W17,Cleanbot1,9.09
2016 W18,Cleanbot1,9.7
2016 W19,Cleanbot1,11.32
2016 W20,Cleanbot1,8.63
2016 W21,Cleanbot1,10.63
2016 W22,Cleanbot1,9.84
2016 W23,Cleanbot1,8.41
2016 W24,Cleanbot1,8.75
2016 W25,Cleanbot1,8.74
2016 W26,Cleanbot1,8.85
2016 W27,Cleanbot1,10.27
2016 W28,Cleanbot1,10.44
2016 W29,Cleanbot1,8.25
2016 W30,Cleanbot1,8.82
2016 W31,Cleanbot1,13.14
2016 W32,Cleanbot1,10.71
2016 W33,Cleanbot1,9.61
2016 W34,Cleanbot1,11.79
2016 W35,Cleanbot1,4.98
2016 W36,Cleanbot1,9.67
2016 W37,Cleanbot1,7.56
2016 W38,Cleanbot1,9.02
2016 W39,Cleanbot1,7.32
2016 W40,Cleanbot1,9.65
2016 W41,Cleanbot1,10.35
2016 W42,Cleanbot1,8
2016 W43,Cleanbot1,9.9
2016 W44,Cleanbot1,8.01
2016 W45,Cleanbot1,8.33
2016 W46,Cleanbot1,13.97
2016 W47,Cleanbot1,10.74
2016 W48,Cleanbot1,12.45
2016 W49,Cleanbot1,9.84
2016 W50,Cleanbot1,12.61
2016 W51,Cleanbot1,12.47
2016 W52,Cleanbot1,13
2017 W01,Cleanbot1,9.64
2017 W02,Cleanbot1,7.69
2017 W03,Cleanbot1,10.38
2017 W04,Cleanbot1,11.65
2017 W05,Cleanbot1,10.5
2017 W06,Cleanbot1,10.47
2017 W07,Cleanbot1,9.42
2017 W08,Cleanbot1,11.31
2017 W09,Cleanbot1,12.83
2017 W10,Cleanbot1,10.61
2017 W11,Cleanbot1,7.84
2017 W12,Cleanbot1,7.57
2017 W13,Cleanbot1,10.16
2017 W14,Cleanbot1,7.64
2017 W15,Cleanbot1,9.13
2017 W16,Cleanbot1,7.02
2017 W17,Cleanbot1,9.8
2017 W18,Cleanbot1,6.82
2017 W19,Cleanbot1,5.86
2017 W20,Cleanbot1,7.16
2017 W21,Cleanbot1,6.54
2017 W22,Cleanbot1,8.95
2017 W23,Cleanbot1,6.75
2017 W24,Cleanbot1,8.8
2017 W25,Cleanbot1,9.34
2017 W26,Cleanbot1,9.58
2017 W27,Cleanbot1,11.45
2017 W28,Cleanbot1,10.08
2017 W29,Cleanbot1,12.55
2017 W30,Cleanbot1,12.57
2017 W31,Cleanbot1,10.16
2017 W32,Cleanbot1,13.06
2017 W33,Cleanbot1,11.9
2017 W34,Cleanbot1,13.1
2017 W35,Cleanbot1,10.57
2017 W36,Cleanbot1,13.92
2017 W37,Cleanbot1,10.79
2017 W38,Cleanbot1,15.57
2017 W39,Cleanbot1,15.06
2017 W40,Cleanbot1,11.47
2017 W41,Cleanbot1,9.76
2017 W42,Cleanbot1,11.63
2017 W43,Cleanbot1,10.76
2017 W44,Cleanbot1,11.07
2017 W45,Cleanbot1,11.91
2017 W46,Cleanbot1,11.16
2017 W47,Cleanbot1,11.32
2017 W48,Cleanbot1,14.96
2017 W49,Cleanbot1,10.97
2017 W50,Cleanbot1,12.65
2017 W51,Cleanbot1,11.03
2017 W52,Cleanbot1,12.68
2018 W14,Cleanbot1,13.4
2018 W15,Cleanbot1,11
2018 W16,Cleanbot1,9
2018 W17,Cleanbot1,11
2018 W18,Cleanbot1,10.8
2018 W19,Cleanbot1,10.2
2018 W20,Cleanbot1,11.2
2018 W21,Cleanbot1,13
2018 W22,Cleanbot1,12.4
2018 W23,Cleanbot1,12
2018 W24,Cleanbot1,8.6
2018 W25,Cleanbot1,10.6
2018 W26,Cleanbot1,13
2018 W27,Cleanbot1,14
2018 W28,Cleanbot1,12.2
2018 W29,Cleanbot1,16.2
2018 W30,Cleanbot1,12.6
2018 W31,Cleanbot1,13
2018 W32,Cleanbot1,11.2
2018 W33,Cleanbot1,11.8
2018 W34,Cleanbot1,12.8
2018 W35,Cleanbot1,13.2
2018 W36,Cleanbot1,11.8
2018 W37,Cleanbot1,11.6
2018 W38,Cleanbot1,10.6
2018 W39,Cleanbot1,13
2018 W40,Cleanbot1,11
2018 W41,Cleanbot1,11.8
2018 W42,Cleanbot1,11.8
2018 W43,Cleanbot1,10.4
2018 W44,Cleanbot1,15.8
2018 W45,Cleanbot1,14.4
2018 W46,Cleanbot1,13
2018 W47,Cleanbot1,10
2018 W48,Cleanbot1,13.2
2018 W49,Cleanbot1,11.4
2018 W50,Cleanbot1,10.2
2018 W51,Cleanbot1,12.2
2018 W52,Cleanbot1,14.6
2019 W01,Cleanbot1,11.94
2019 W02,Cleanbot1,10.29
2019 W03,Cleanbot1,13.49
2019 W04,Cleanbot1,12.21
2019 W05,Cleanbot1,13.1
2019 W06,Cleanbot1,15.16
2019 W07,Cleanbot1,12.02
2019 W08,Cleanbot1,11.95
2019 W09,Cleanbot1,12.53
2019 W10,Cleanbot1,14.81
2019 W11,Cleanbot1,14.51
2019 W12,Cleanbot1,11.66
2019 W13,Cleanbot1,14.2
2019 W14,Cleanbot1,14.45
2019 W15,Cleanbot1,15.67
2019 W16,Cleanbot1,11.72
2019 W17,Cleanbot1,13.65
2019 W18,Cleanbot1,13.69
2019 W19,Cleanbot1,14.37
2019 W20,Cleanbot1,12.9
2019 W21,Cleanbot1,11.06
2019 W22,Cleanbot1,12.33
2019 W23,Cleanbot1,13.71
2019 W24,Cleanbot1,11.51
2019 W25,Cleanbot1,11.16
2019 W26,Cleanbot1,12.42
2019 W27,Cleanbot1,10.72
2019 W28,Cleanbot1,12.75
2019 W29,Cleanbot1,10.66
2019 W30,Cleanbot1,12.48
2019 W31,Cleanbot1,14.04
2019 W32,Cleanbot1,13.79
2019 W33,Cleanbot1,10.12
2019 W34,Cleanbot1,9.88
2019 W35,Cleanbot1,10.08
2019 W36,Cleanbot1,8.94
2019 W37,Cleanbot1,12.22
2019 W38,Cleanbot1,11.34
2019 W39,Cleanbot1,11.33
2019 W40,Cleanbot1,12.36
2019 W41,Cleanbot1,12.58
2019 W42,Cleanbot1,7.41
2019 W43,Cleanbot1,9.26
2019 W44,Cleanbot1,11.94
2019 W45,Cleanbot1,9.05
2019 W46,Cleanbot1,10.28
2019 W47,Cleanbot1,10
2019 W48,Cleanbot1,12.66
2019 W49,Cleanbot1,10.23
2019 W50,Cleanbot1,10.97
2019 W51,Cleanbot1,14.42
2019 W52,Cleanbot1,10.61
2020 W01,Cleanbot1,10.88
2020 W02,Cleanbot1,9.61
2020 W03,Cleanbot1,11.57
2020 W04,Cleanbot1,12.05
2020 W05,Cleanbot1,11.22
2020 W06,Cleanbot1,8.88
2020 W07,Cleanbot1,11.27
2020 W08,Cleanbot1,13.47
2020 W09,Cleanbot1,12.87
2020 W10,Cleanbot1,11.28
2020 W11,Cleanbot1,9.59
2020 W12,Cleanbot1,9.98
2020 W13,Cleanbot1,8.3
2020 W14,Cleanbot1,6.92
2020 W15,Cleanbot1,9.39
2020 W16,Cleanbot1,9.06
2020 W17,Cleanbot1,7.13
2020 W18,Cleanbot1,8.69
2020 W19,Cleanbot1,9.39
2020 W20,Cleanbot1,9.64
2020 W21,Cleanbot1,8.44
2020 W22,Cleanbot1,10.39
2020 W23,Cleanbot1,9.05
2020 W24,Cleanbot1,10.31
2020 W25,Cleanbot1,10.75
2020 W26,Cleanbot1,9.13
2020 W27,Cleanbot1,9.22
2020 W28,Cleanbot1,9.58
2020 W29,Cleanbot1,10.13
2020 W30,Cleanbot1,7.32
2020 W31,Cleanbot1,10.78
2020 W32,Cleanbot1,9.45
2020 W33,Cleanbot1,7.84
2020 W34,Cleanbot1,11.42
2020 W35,Cleanbot1,9.51
2020 W36,Cleanbot1,11.24
2020 W37,Cleanbot1,10.59
2020 W38,Cleanbot1,6.56
2020 W39,Cleanbot1,9.98
2020 W40,Cleanbot1,7.73
2012 W14,Cleanbot2,21.74
